sample,metric_interpretation,independent_episodes,days_protected,upside_sacrificed,downside_avoided,with_observations,with_cumulative_return,with_annual_return,with_volatility,with_sharpe,with_sortino,with_max_drawdown,with_calmar,with_worst_day,with_var_95,with_cvar_95,with_win_rate,with_average_daily_return,with_final_equity,with_turnover,with_transaction_costs,without_observations,without_cumulative_return,without_annual_return,without_volatility,without_sharpe,without_sortino,without_max_drawdown,without_calmar,without_worst_day,without_var_95,without_cvar_95,without_win_rate,without_average_daily_return,without_final_equity,without_turnover,without_transaction_costs,delta_cumulative_return,delta_annual_return,delta_volatility,delta_sharpe,delta_sortino,delta_max_drawdown,delta_worst_day,delta_cvar_95,delta_final_equity,delta_turnover,delta_transaction_costs
full_validated_replay,standalone_investable_performance,2,0,0.0,0.0,668,6.214778673543559,1.1074669728441604,0.24609307842409775,4.500195535510501,7.947943332701929,-0.11445300342684805,9.676172225152582,-0.0912331282202495,-0.016549410093024713,-0.03031764245647266,0.6092814371257484,0.003081674007376277,7.214778673543559,45.758317762293004,0.091516635524586,668,6.214778673543559,1.1074669728441604,0.24609307842409775,4.500195535510501,7.947943332701929,-0.11445300342684805,9.676172225152582,-0.0912331282202495,-0.016549410093024713,-0.03031764245647266,0.6092814371257484,0.003081674007376277,7.214778673543559,45.758317762293004,0.091516635524586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_leveraged_technology_active_sessions,conditional_diagnostic_not_standalone_investable_performance,0,0,0.0,0.0,213,1.848761437095519,2.450666359882398,0.36727603950622095,6.6725462493473895,11.791597356397412,-0.11401696260359429,21.49387515612649,-0.0912331282202495,-0.0298910540353238,-0.04531361044988932,0.5915492957746479,0.005191195307499096,2.848761437095519,16.68588393618044,0.033371767872360875,213,1.848761437095519,2.450666359882398,0.36727603950622095,6.6725462493473895,11.791597356397412,-0.11401696260359429,21.49387515612649,-0.0912331282202495,-0.0298910540353238,-0.04531361044988932,0.5915492957746479,0.005191195307499096,2.848761437095519,16.68588393618044,0.033371767872360875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tqqq_active_sessions,conditional_diagnostic_not_standalone_investable_performance,0,0,0.0,0.0,173,0.7432022486009677,1.2467699788332478,0.34294540069228124,3.6354765986552833,5.758297654590502,-0.11401696260359451,10.934951698090071,-0.0912331282202495,-0.0298910540353238,-0.047214097410564836,0.5722543352601156,0.0034495265738594843,1.7432022486009677,12.112421796177365,0.02422484359235473,173,0.7432022486009677,1.2467699788332478,0.34294540069228124,3.6354765986552833,5.758297654590502,-0.11401696260359451,10.934951698090071,-0.0912331282202495,-0.0298910540353238,-0.047214097410564836,0.5722543352601156,0.0034495265738594843,1.7432022486009677,12.112421796177365,0.02422484359235473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
soxl_active_sessions,conditional_diagnostic_not_standalone_investable_performance,0,0,0.0,0.0,100,1.452412645138358,8.589053415659638,0.429720378864084,19.98754035906746,41.98330053944543,-0.08341134432876929,102.97224537954365,-0.07500107175867653,-0.02956640399787037,-0.0453485777725359,0.62,0.00936767320758032,2.452412645138358,9.217088473891703,0.018434176947783404,100,1.452412645138358,8.589053415659638,0.429720378864084,19.98754035906746,41.98330053944543,-0.08341134432876929,102.97224537954365,-0.07500107175867653,-0.02956640399787037,-0.0453485777725359,0.62,0.00936767320758032,2.452412645138358,9.217088473891703,0.018434176947783404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tqqq_soxl_simultaneous_sessions,conditional_diagnostic_not_standalone_investable_performance,0,0,0.0,0.0,60,0.5006701445177191,4.500447429097361,0.4204196882932821,10.704654311902438,19.814448895497524,-0.08341134432876929,53.95486028085892,-0.07500107175867653,-0.02956640399787037,-0.05107335020299351,0.5833333333333334,0.007130180292306925,1.500670144517719,4.643626333888631,0.009287252667777262,60,0.5006701445177191,4.500447429097361,0.4204196882932821,10.704654311902438,19.814448895497524,-0.08341134432876929,53.95486028085892,-0.07500107175867653,-0.02956640399787037,-0.05107335020299351,0.5833333333333334,0.007130180292306925,1.500670144517719,4.643626333888631,0.009287252667777262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
high_technology_exposure_sessions,conditional_diagnostic_not_standalone_investable_performance,0,0,0.0,0.0,171,1.6644238955069222,3.23842880505856,0.40524601098416124,7.991266335216639,14.07504679860258,-0.11401696260359451,28.40304399545954,-0.0912331282202495,-0.03292330170921773,-0.04839938594262994,0.6023391812865497,0.006068800818675758,2.664423895506922,12.32853812204548,0.024657076244090956,171,1.6644238955069222,3.23842880505856,0.40524601098416124,7.991266335216639,14.07504679860258,-0.11401696260359451,28.40304399545954,-0.0912331282202495,-0.03292330170921773,-0.04839938594262994,0.6023391812865497,0.006068800818675758,2.664423895506922,12.32853812204548,0.024657076244090956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emergency_triggered_tqqq_sessions,conditional_diagnostic_not_standalone_investable_performance,0,0,0.0,0.0,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
emergency_triggered_soxl_sessions,conditional_diagnostic_not_standalone_investable_performance,0,0,0.0,0.0,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
emergency_triggered_simultaneous_sessions,conditional_diagnostic_not_standalone_investable_performance,0,0,0.0,0.0,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
emergency_episode_1,conditional_diagnostic_not_standalone_investable_performance,1,0,0.0,0.0,9,0.0019642740043093188,0.056483273060191186,0.002288929259027407,24.67672289889448,,0.0,,0.0001088228118109,0.00010889252793414,0.0001088228118109,1.0,0.0002180716031691778,1.0019642740043093,0.0,0.0,9,0.0019642740043093188,0.056483273060191186,0.002288929259027407,24.67672289889448,,0.0,,0.0001088228118109,0.00010889252793414,0.0001088228118109,1.0,0.0002180716031691778,1.0019642740043093,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
emergency_episode_2,conditional_diagnostic_not_standalone_investable_performance,1,0,0.0,0.0,10,0.03465740039045162,1.359790907687517,0.15124943445833655,8.990386724798547,15.682166867804298,-0.0015951803742486614,852.4370846325048,-0.0171991048154231,-0.010177338816894576,-0.0171991048154231,0.8,0.00345367803140057,1.0346574003904516,0.55,0.0011,10,0.03465740039045162,1.359790907687517,0.15124943445833655,8.990386724798547,15.682166867804298,-0.0015951803742486614,852.4370846325048,-0.0171991048154231,-0.010177338816894576,-0.0171991048154231,0.8,0.00345367803140057,1.0346574003904516,0.55,0.0011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
