date,horizon_trading_days,with_emergency_return,without_emergency_return,effect
2023-11-15,1,-0.0005412734010861175,-0.0005412734010861175,0.0
2023-11-15,2,-0.00248948423819384,-0.00248948423819384,0.0
2023-11-15,5,0.005600334288945241,0.005600334288945241,0.0
2023-11-15,10,0.009883590350867166,0.009883590350867166,0.0
2023-11-15,21,0.13889100223802697,0.13889100223802697,0.0
2023-11-16,1,-0.0019492659229034537,-0.0019492659229034537,0.0
2023-11-16,2,-0.0015553200082075724,-0.0015553200082075724,0.0
2023-11-16,5,0.008806378030806084,0.008806378030806084,0.0
2023-11-16,10,0.0064392673683879575,0.0064392673683879575,0.0
2023-11-16,21,0.14075797402238122,0.14075797402238122,0.0
2023-11-17,1,0.00039471531981805086,0.00039471531981805086,0.0
2023-11-17,2,0.016098574341799177,0.016098574341799177,0.0
2023-11-17,5,0.009665432544906372,0.009665432544906372,0.0
2023-11-17,10,0.01938066123923865,0.01938066123923865,0.0
2023-11-17,21,0.13941271983528902,0.13941271983528902,0.0
2023-11-20,1,0.01569766291394359,0.01569766291394359,0.0
2023-11-20,2,0.00771224880231558,0.00771224880231558,0.0
2023-11-20,5,0.007448493406571943,0.007448493406571943,0.0
2023-11-20,10,0.006117816238805807,0.006117816238805807,0.0
2023-11-20,21,0.15425686003073036,0.15425686003073036,0.0
2023-11-21,1,-0.007861999099927575,-0.007861999099927575,0.0
2023-11-21,2,-0.005237605843441018,-0.005237605843441018,0.0
2023-11-21,5,-0.0016208924967694438,-0.0016208924967694438,0.0
2023-11-21,10,-0.01379452293021799,-0.01379452293021799,0.0
2023-11-21,21,0.09117765810573975,0.09117765810573975,0.0
2023-11-22,1,0.0026451897358086285,0.0026451897358086285,0.0
2023-11-22,2,0.0015429112569740333,0.0015429112569740333,0.0
2023-11-22,5,0.004259401986923983,0.004259401986923983,0.0
2023-11-22,10,-0.013340323612549332,-0.013340323612549332,0.0
2023-11-22,21,0.13983101835428768,0.13983101835428768,0.0
2023-11-24,1,-0.0010993704354428369,-0.0010993704354428369,0.0
2023-11-24,2,-0.002899257466013716,-0.002899257466013716,0.0
2023-11-24,5,-0.002346446963428561,-0.002346446963428561,0.0
2023-11-24,10,0.008808397518931477,0.008808397518931477,0.0
2023-11-24,21,0.14469028934584416,0.14469028934584416,0.0
2023-11-27,1,-0.0018018679509247404,-0.0018018679509247404,0.0
2023-11-27,2,0.004740337826264263,0.004740337826264263,0.0
2023-11-27,5,0.009622225720697042,0.009622225720697042,0.0
2023-11-27,10,0.018920837721583705,0.018920837721583705,0.0
2023-11-27,21,0.17453937753295756,0.17453937753295756,0.0
2023-11-28,1,0.006554015247212774,0.006554015247212774,0.0
2023-11-28,2,0.004522322461503192,0.004522322461503192,0.0
2023-11-28,5,-0.0013208389078696037,-0.0013208389078696037,0.0
2023-11-28,10,0.053269983987809466,0.053269983987809466,0.0
2023-11-28,21,0.18112040583871702,0.18112040583871702,0.0
2023-11-29,1,-0.0020184637435584074,-0.0020184637435584074,0.0
2023-11-29,2,-0.005960531927250767,-0.005960531927250767,0.0
2023-11-29,5,-0.012193394615290787,-0.012193394615290787,0.0
2023-11-29,10,0.059723553684538855,0.059723553684538855,0.0
2023-11-29,21,0.16919298077065248,0.16919298077065248,0.0
2023-11-30,1,-0.0039500411986373996,-0.0039500411986373996,0.0
2023-11-30,2,0.006891228717835762,0.006891228717835762,0.0
2023-11-30,5,-0.017525079242128316,-0.017525079242128316,0.0
2023-11-30,10,0.08434784103810511,0.08434784103810511,0.0
2023-11-30,21,0.16804305438453104,0.16804305438453104,0.0
2023-12-01,1,0.010884263204547828,0.010884263204547828,0.0
2023-12-01,2,-0.001874217710846282,-0.001874217710846282,0.0
2023-12-01,5,0.011181080294264012,0.011181080294264012,0.0
2023-12-01,10,0.13221713861908757,0.13221713861908757,0.0
2023-12-01,21,0.17280336024914744,0.17280336024914744,0.0
2023-12-04,1,-0.012621109438333833,-0.012621109438333833,0.0
2023-12-04,2,-0.016969796110836377,-0.016969796110836377,0.0
2023-12-04,5,0.009209991384895755,0.009209991384895755,0.0
2023-12-04,10,0.12125528868713831,0.12125528868713831,0.0
2023-12-04,21,0.16055667196655143,0.16055667196655143,0.0
2023-12-05,1,-0.004404273490218991,-0.004404273490218991,0.0
2023-12-05,2,-0.011776727091601824,-0.011776727091601824,0.0
2023-12-05,5,0.054663023944526934,0.054663023944526934,0.0
2023-12-05,10,0.13203755588749688,0.13203755588749688,0.0
2023-12-05,21,0.17577703675205658,0.17577703675205658,0.0
2023-12-06,1,-0.007405067544060451,-0.007405067544060451,0.0
2023-12-06,2,0.01756143125756182,0.01756143125756182,0.0
2023-12-06,5,0.07280468454836964,0.07280468454836964,0.0
2023-12-06,10,0.15231337035980208,0.15231337035980208,0.0
2023-12-06,21,0.1811076070650648,0.1811076070650648,0.0
2023-12-07,1,0.02515275666363581,0.02515275666363581,0.0
2023-12-07,2,0.03429071499961989,0.03429071499961989,0.0
2023-12-07,5,0.1036900974547521,0.1036900974547521,0.0
2023-12-07,10,0.11469486741578638,0.11469486741578638,0.0
2023-12-07,21,0.19004899977849954,0.19004899977849954,0.0
2023-12-08,1,0.008913752878862313,0.008913752878862313,0.0
2023-12-08,2,0.04104633318468798,0.04104633318468798,0.0
2023-12-08,5,0.11969770863355245,0.11969770863355245,0.0
2023-12-08,10,0.12689774017485833,0.12689774017485833,0.0
2023-12-08,21,0.16097729263474303,0.16097729263474303,0.0
2023-12-11,1,0.03184868896289461,0.03184868896289461,0.0
2023-12-11,2,0.04497519523925053,0.04497519523925053,0.0
2023-12-11,5,0.11102277846901543,0.11102277846901543,0.0
2023-12-11,10,0.12467040676394281,0.12467040676394281,0.0
2023-12-11,21,0.15097168466099609,0.15097168466099609,0.0
2023-12-12,1,0.012721348020075851,0.012721348020075851,0.0
2023-12-12,2,0.03416182763670328,0.03416182763670328,0.0
2023-12-12,5,0.0733642217336703,0.0733642217336703,0.0
2023-12-12,10,0.11714905064809411,0.11714905064809411,0.0
2023-12-12,21,0.11605588683811274,0.11605588683811274,0.0
2023-12-13,1,0.021171153998624348,0.021171153998624348,0.0
2023-12-13,2,0.062039735082457304,0.062039735082457304,0.0
2023-12-13,5,0.07411291818221688,0.07411291818221688,0.0
2023-12-13,10,0.10729796032197103,0.10729796032197103,0.0
2023-12-13,21,0.09781403082707274,0.09781403082707274,0.0
2023-12-14,1,0.04002128431047325,0.04002128431047325,0.0
2023-12-14,2,0.0411623213559662,0.0411623213559662,0.0
2023-12-14,5,0.009970887648999227,0.009970887648999227,0.0
2023-12-14,10,0.08042611718176795,0.08042611718176795,0.0
2023-12-14,21,0.06444609038218796,0.06444609038218796,0.0
2023-12-15,1,0.0010971285517964446,0.0010971285517964446,0.0
2023-12-15,2,-0.0020325320026381988,-0.0020325320026381988,0.0
2023-12-15,5,0.006430335157238787,0.006430335157238787,0.0
2023-12-15,10,0.035733455728638175,0.035733455728638175,0.0
2023-12-15,21,0.014938400595676748,0.014938400595676748,0.0
2023-12-18,1,-0.0031262306774988424,-0.0031262306774988424,0.0
2023-12-18,2,0.010259535752412674,0.010259535752412674,0.0
2023-12-18,5,0.012283842023233404,0.012283842023233404,0.0
2023-12-18,10,0.03471146512728929,0.03471146512728929,0.0
2023-12-18,21,0.027095701380027037,0.027095701380027037,0.0
2023-12-19,1,0.013427744657188434,0.013427744657188434,0.0
2023-12-19,2,-0.02691619686750324,-0.02691619686750324,0.0
2023-12-19,5,0.04079214494750305,0.04079214494750305,0.0
2023-12-19,10,0.03829719212358085,0.03829719212358085,0.0
2023-12-19,21,0.04759422661645374,0.04759422661645374,0.0
2023-12-20,1,-0.039809391184902676,-0.039809391184902676,0.0
2023-12-20,2,-0.004882086011728459,-0.004882086011728459,0.0
2023-12-20,5,0.030895301209034054,0.030895301209034054,0.0
2023-12-20,10,0.024876061442006714,0.024876061442006714,0.0
2023-12-20,21,0.032678643244481886,0.032678643244481886,0.0
2023-12-21,1,0.03637538719137812,0.03637538719137812,0.0
2023-12-21,2,0.04354670785157477,0.04354670785157477,0.0
2023-12-21,5,0.06975966376295628,0.06975966376295628,0.0
2023-12-21,10,0.06748409156254476,0.06748409156254476,0.0
2023-12-21,21,0.08048054052547893,0.08048054052547893,0.0
2023-12-22,1,0.00691961691567311,0.00691961691567311,0.0
2023-12-22,2,0.032040336346306875,0.032040336346306875,0.0
2023-12-22,5,0.029115895604260977,0.029115895604260977,0.0
2023-12-22,10,0.030129328031413216,0.030129328031413216,0.0
2023-12-22,21,0.04935923720088997,0.04935923720088997,0.0
2023-12-26,1,0.024948088217390918,0.024948088217390918,0.0
2023-12-26,2,0.028833776826084234,0.028833776826084234,0.0
2023-12-26,5,0.022155468825058033,0.022155468825058033,0.0
2023-12-26,10,0.023162031721287724,0.023162031721287724,0.0
2023-12-26,21,0.04208115534638179,0.04208115534638179,0.0
2023-12-27,1,0.003791107718881026,0.003791107718881026,0.0
2023-12-27,2,0.00016685089865298153,0.00016685089865298153,0.0
2023-12-27,5,-0.002397167230780761,-0.002397167230780761,0.0
2023-12-27,10,-0.0015242949181604182,-0.0015242949181604182,0.0
2023-12-27,21,0.013602365213005507,0.013602365213005507,0.0
2023-12-28,1,-0.003610568765113009,-0.003610568765113009,0.0
2023-12-28,2,-0.006599737058817667,-0.006599737058817667,0.0
2023-12-28,5,-0.005838846835336198,-0.005838846835336198,0.0
2023-12-28,10,-0.004751623756133583,-0.004751623756133583,0.0
2023-12-28,21,0.01715178672921769,0.01715178672921769,0.0
2024-01-12,1,-0.003831512125868186,-0.003831512125868186,0.0
2024-01-12,2,-0.013660940072562466,-0.013660940072562466,0.0
2024-01-12,5,0.007521375054545754,0.007521375054545754,0.0
2024-01-12,10,0.014595176985632508,0.014595176985632508,0.0
2024-01-12,21,0.03757264186287568,0.03757264186287568,0.0
2024-02-13,1,-0.029554279139177297,-0.029554279139177297,0.0
2024-02-13,2,-0.0065635026917104655,-0.0065635026917104655,0.0
2024-02-13,5,-0.022083107116288248,-0.022083107116288248,0.0
2024-02-13,10,0.0334645013562036,0.0334645013562036,0.0
2024-02-13,21,0.0697066164915503,0.0697066164915503,0.0
2024-02-14,1,0.02369094525665294,0.02369094525665294,0.0
2024-02-14,2,0.035364682070918585,0.035364682070918585,0.0
2024-02-14,5,0.011458163903689256,0.011458163903689256,0.0
2024-02-14,10,0.05955233521810932,0.05955233521810932,0.0
2024-02-14,21,0.09600636994922773,0.09600636994922773,0.0
2024-02-15,1,0.011403575335267702,0.011403575335267702,0.0
2024-02-15,2,0.0025692594887716247,0.0025692594887716247,0.0
2024-02-15,5,0.04467105672345939,0.04467105672345939,0.0
2024-02-15,10,0.041342754428679074,0.041342754428679074,0.0
2024-02-15,21,0.07114379135895166,0.07114379135895166,0.0
2024-02-16,1,-0.008734708935122848,-0.008734708935122848,0.0
2024-02-16,2,-0.026721000774942105,-0.026721000774942105,0.0
2024-02-16,5,0.020341594182229805,0.020341594182229805,0.0
2024-02-16,10,0.04296765693071403,0.04296765693071403,0.0
2024-02-16,21,0.061558319537294626,0.061558319537294626,0.0
2024-02-20,1,-0.018144781222489192,-0.018144781222489192,0.0
2024-02-20,2,-0.014481734244414568,-0.014481734244414568,0.0
2024-02-20,5,0.040032156416804465,0.040032156416804465,0.0
2024-02-20,10,0.0472561598679071,0.0472561598679071,0.0
2024-02-20,21,0.07685030071414434,0.07685030071414434,0.0
2024-02-21,1,0.003730740447288605,0.003730740447288605,0.0
2024-02-21,2,0.06125005405148842,0.06125005405148842,0.0
2024-02-21,5,0.05680197251597874,0.05680197251597874,0.0
2024-02-21,10,0.06716176205765811,0.06716176205765811,0.0
2024-02-21,21,0.11113189110058896,0.11113189110058896,0.0
2024-02-22,1,0.05730552157699953,0.05730552157699953,0.0
2024-02-22,2,0.044458078411250046,0.044458078411250046,0.0
2024-02-22,5,0.047549343147127665,0.047549343147127665,0.0
2024-02-22,10,0.06795096602588968,0.06795096602588968,0.0
2024-02-22,21,0.11684546211618807,0.11684546211618807,0.0
2024-02-23,1,-0.012151117064618355,-0.012151117064618355,0.0
2024-02-23,2,-0.0018826862364904606,-0.0018826862364904606,0.0
2024-02-23,5,-0.0031859811501043778,-0.0031859811501043778,0.0
2024-02-23,10,0.020176683184635724,0.020176683184635724,0.0
2024-02-23,21,0.050399622367035324,0.050399622367035324,0.0
2024-02-26,1,0.01039473851265127,0.01039473851265127,0.0
2024-02-26,2,0.008057666230669058,0.008057666230669058,0.0
2024-02-26,5,0.022174988138769836,0.022174988138769836,0.0
2024-02-26,10,0.0309061936084698,0.0309061936084698,0.0
2024-02-26,21,0.058366290732526194,0.058366290732526194,0.0
2024-02-27,1,-0.0023130289508658253,-0.0023130289508658253,0.0
2024-02-27,2,-0.007358565230725311,-0.007358565230725311,0.0
2024-02-27,5,0.006945942398542071,0.006945942398542071,0.0
2024-02-27,10,0.024358515982446427,0.024358515982446427,0.0
2024-02-27,21,0.04481528813746838,0.04481528813746838,0.0
2024-05-22,1,0.008329648650133192,0.008329648650133192,0.0
2024-05-22,2,-0.0013253735641038933,-0.0013253735641038933,0.0
2024-05-22,5,0.025804628592967394,0.025804628592967394,0.0
2024-05-22,10,0.06092506181286916,0.06092506181286916,0.0
2024-05-22,21,0.10296305013430751,0.10296305013430751,0.0
2024-05-23,1,-0.009575263632446429,-0.009575263632446429,0.0
2024-05-23,2,0.02312859195321093,0.02312859195321093,0.0
2024-05-23,5,0.0031163586213909245,0.0031163586213909245,0.0
2024-05-23,10,0.04851409758847525,0.04851409758847525,0.0
2024-05-23,21,0.0796405591592908,0.0796405591592908,0.0
2024-05-24,1,0.03302003108848117,0.03302003108848117,0.0
2024-05-24,2,0.06300352017635191,0.06300352017635191,0.0
2024-05-24,5,-0.0026353068639233257,-0.0026353068639233257,0.0
2024-05-24,10,0.0523636930864495,0.0523636930864495,0.0
2024-05-24,21,0.09866689180469068,0.09866689180469068,0.0
2024-05-28,1,0.029025080042521134,0.029025080042521134,0.0
2024-05-28,2,-0.005666902525956252,-0.005666902525956252,0.0
2024-05-28,5,-0.03320149734488875,-0.03320149734488875,0.0
2024-05-28,10,0.022993608568220525,0.022993608568220525,0.0
2024-05-28,21,0.064469546304045,0.064469546304045,0.0
2024-05-29,1,-0.03371344706879631,-0.03371344706879631,0.0
2024-05-29,2,-0.0472145166512421,-0.0472145166512421,0.0
2024-05-29,5,-0.07061703190104485,-0.07061703190104485,0.0
2024-05-29,10,0.00321255580508506,0.00321255580508506,0.0
2024-05-29,21,0.037707349526731715,0.037707349526731715,0.0
2024-05-30,1,-0.013972117837602771,-0.013972117837602771,0.0
2024-05-30,2,-0.029013142878645426,-0.029013142878645426,0.0
2024-05-30,5,0.03423696115319186,0.03423696115319186,0.0
2024-05-30,10,0.057591679117665606,0.057591679117665606,0.0
2024-05-30,21,0.06738604227867406,0.06738604227867406,0.0
2024-05-31,1,-0.015254157933198731,-0.015254157933198731,0.0
2024-05-31,2,-0.013913807483486695,-0.013913807483486695,0.0
2024-05-31,5,0.045256702850978936,0.045256702850978936,0.0
2024-05-31,10,0.07950416333612798,0.07950416333612798,0.0
2024-05-31,21,0.08506830338559501,0.08506830338559501,0.0
2024-06-03,1,0.0013611130836550522,0.0013611130836550522,0.0
2024-06-03,2,-0.00945223599734446,-0.00945223599734446,0.0
2024-06-03,5,0.05514432216107035,0.05514432216107035,0.0
2024-06-03,10,0.09930927067433815,0.09930927067433815,0.0
2024-06-03,21,0.11762753863289022,0.11762753863289022,0.0
2024-06-04,1,-0.0107986508959792,-0.0107986508959792,0.0
2024-06-04,2,0.06369221536998082,0.06369221536998082,0.0
2024-06-04,5,0.05812494098695975,0.05812494098695975,0.0
2024-06-04,10,0.11924238239994,0.11924238239994,0.0
2024-06-04,21,0.12852927961913085,0.12852927961913085,0.0
2024-06-05,1,0.07530404839563842,0.07530404839563842,0.0
2024-06-05,2,0.07157700004607892,0.07157700004607892,0.0
2024-06-05,5,0.07943935948939052,0.07943935948939052,0.0
2024-06-05,10,0.13125511653496846,0.13125511653496846,0.0
2024-06-05,21,0.1529258365001136,0.1529258365001136,0.0
2024-06-06,1,-0.0034660414002163353,-0.0034660414002163353,0.0
2024-06-06,2,-0.009384398675667316,-0.009384398675667316,0.0
2024-06-06,5,0.022581592847380927,0.022581592847380927,0.0
2024-06-06,10,0.044081420763206536,0.044081420763206536,0.0
2024-06-06,21,0.07559923432131943,0.07559923432131943,0.0
2024-06-07,1,-0.005938941893928851,-0.005938941893928851,0.0
2024-06-07,2,-0.0017740221912281307,-0.0017740221912281307,0.0
2024-06-07,5,0.03276464086930764,0.03276464086930764,0.0
2024-06-07,10,0.0432398121574773,0.0432398121574773,0.0
2024-06-07,21,0.07446831889676186,0.07446831889676186,0.0
2024-06-10,1,0.004189802697468048,0.004189802697468048,0.0
2024-06-10,2,0.01335544480658557,0.01335544480658557,0.0
2024-06-10,5,0.041856784503955025,0.041856784503955025,0.0
2024-06-10,10,0.03583804142082192,0.03583804142082192,0.0
2024-06-10,21,0.10133313986811765,0.10133313986811765,0.0
2024-06-11,1,0.009127400103542849,0.009127400103542849,0.0
2024-06-11,2,0.027961857583507443,0.027961857583507443,0.0
2024-06-11,5,0.05776013686623194,0.05776013686623194,0.0
2024-06-11,10,0.03964333576434931,0.03964333576434931,0.0
2024-06-11,21,0.07788415379606084,0.07788415379606084,0.0
2024-06-12,1,0.018664102746622557,0.018664102746622557,0.0
2024-06-12,2,0.025242248105439735,0.025242248105439735,0.0
2024-06-12,5,0.048002471458969964,0.048002471458969964,0.0
2024-06-12,10,0.031132136384739217,0.031132136384739217,0.0
2024-06-12,21,0.07951473884677651,0.07951473884677651,0.0
2024-06-13,1,0.006457619681581539,0.006457619681581539,0.0
2024-06-13,2,0.009288248775721542,0.009288248775721542,0.0
2024-06-13,5,0.021025048823692494,0.021025048823692494,0.0
2024-06-13,10,0.015432201200406226,0.015432201200406226,0.0
2024-06-13,21,0.06200019256815614,0.06200019256815614,0.0
2024-06-14,1,0.002812467250270956,0.002812467250270956,0.0
2024-06-14,2,0.022385551486026056,0.022385551486026056,0.0
2024-06-14,5,0.010142844626586323,0.010142844626586323,0.0
2024-06-14,10,0.0027853995277733468,0.0027853995277733468,0.0
2024-06-14,21,0.06447024301491933,0.06447024301491933,0.0
2024-06-17,1,0.01951818996569199,0.01951818996569199,0.0
2024-06-17,2,0.0193330085471779,0.0193330085471779,0.0
2024-06-17,5,-0.005776938992626546,-0.005776938992626546,0.0
2024-06-17,10,0.002335312689039526,0.002335312689039526,0.0
2024-06-17,21,0.026430553614921415,0.026430553614921415,0.0
2024-06-18,1,-0.00018163620849198647,-0.00018163620849198647,0.0
2024-06-18,2,-0.007738362179527503,-0.007738362179527503,0.0
2024-06-18,5,-0.017127513573688136,-0.017127513573688136,0.0
2024-06-18,10,-0.002800102593722209,-0.002800102593722209,0.0
2024-06-18,21,-0.0038980878946140995,-0.0038980878946140995,0.0
2024-06-20,1,-0.0075580987954441126,-0.0075580987954441126,0.0
2024-06-20,2,-0.011795153983917395,-0.011795153983917395,0.0
2024-06-20,5,-0.016097610009206176,-0.016097610009206176,0.0
2024-06-20,10,0.008480661907420695,0.008480661907420695,0.0
2024-06-20,21,-0.018884268927272574,-0.018884268927272574,0.0
2024-06-21,1,-0.004269323154665883,-0.004269323154665883,0.0
2024-06-21,2,-0.017205647116456224,-0.017205647116456224,0.0
2024-06-21,5,-0.005477679151681514,-0.005477679151681514,0.0
2024-06-21,10,0.026917897822469117,0.026917897822469117,0.0
2024-06-21,21,0.008651185772299286,0.008651185772299286,0.0
2024-06-24,1,-0.012991790112136692,-0.012991790112136692,0.0
2024-06-24,2,-0.005215317397142316,-0.005215317397142316,0.0
2024-06-24,5,-0.007283568990217981,-0.007283568990217981,0.0
2024-06-24,10,0.03460418190733128,0.03460418190733128,0.0
2024-06-24,21,0.003117213608292646,0.003117213608292646,0.0
2024-06-25,1,0.007878832857811657,0.007878832857811657,0.0
2024-06-25,2,0.008751680221423142,0.008751680221423142,0.0
2024-06-25,5,0.008159387968175613,0.008159387968175613,0.0
2024-06-25,10,0.04349097504517374,0.04349097504517374,0.0
2024-06-25,21,0.011091728786889465,0.011091728786889465,0.0
2024-06-26,1,0.0008660241044418093,0.0008660241044418093,0.0
2024-06-26,2,0.004022760390856028,0.004022760390856028,0.0
2024-06-26,5,0.014577080117543773,0.014577080117543773,0.0
2024-06-26,10,0.05491757241023887,0.05491757241023887,0.0
2024-06-26,21,0.014701115444573087,0.014701115444573087,0.0
2024-06-27,1,0.0031540048421954126,0.0031540048421954126,0.0
2024-06-27,2,-0.002942570499462116,-0.002942570499462116,0.0
2024-06-27,5,0.024980396598952126,0.024980396598952126,0.0
2024-06-27,10,0.03588552997022898,0.03588552997022898,0.0
2024-06-27,21,0.022376633960741632,0.022376633960741632,0.0
2024-06-28,1,-0.006077407170015259,-0.006077407170015259,0.0
2024-06-28,2,-0.0037293959812809696,-0.0037293959812809696,0.0
2024-06-28,5,0.032574006932813315,0.032574006932813315,0.0
2024-06-28,10,0.04363021104326825,0.04363021104326825,0.0
2024-06-28,21,0.015831407702638245,0.015831407702638245,0.0
2024-07-01,1,0.0023623682625513176,0.0023623682625513176,0.0
2024-07-01,2,0.01669087676349723,0.01669087676349723,0.0
2024-07-01,5,0.042195081686057456,0.042195081686057456,0.0
2024-07-01,10,0.05225525010959786,0.05225525010959786,0.0
2024-07-01,21,0.029922745962945863,0.029922745962945863,0.0
2024-07-02,1,0.01429473906306189,0.01429473906306189,0.0
2024-07-02,2,0.025582571171625546,0.025582571171625546,0.0
2024-07-02,5,0.035045636135179636,0.035045636135179636,0.0
2024-07-02,10,0.05901172810655386,0.05901172810655386,0.0
2024-07-02,21,0.03460502562226586,0.03460502562226586,0.0
2024-07-03,1,0.01112874953782228,0.01112874953782228,0.0
2024-07-03,2,0.021832470952743988,0.021832470952743988,0.0
2024-07-03,5,0.03976089454733378,0.03976089454733378,0.0
2024-07-03,10,0.009607033012554389,0.009607033012554389,0.0
2024-07-03,21,0.007396106363597221,0.007396106363597221,0.0
2024-07-05,1,0.010585913435667171,0.010585913435667171,0.0
2024-07-05,2,0.013803144559639158,0.013803144559639158,0.0
2024-07-05,5,0.010639357989149723,0.010639357989149723,0.0
