model,annual_return,volatility,sharpe,max_drawdown,avg_turnover,trade_count,start,end,days,delta_ann_return_vs_current,delta_sharpe_vs_current,delta_max_dd_vs_current,selection_score,pass_basic,pass_strict,budget_base,budget_tech_floor,budget_ind_floor,budget_energy_floor,budget_risk_floor,budget_crash_floor,budget_move_floor,budget_tech_mult,budget_ind_mult,budget_energy_mult,budget_risk_mult,budget_crash_mult,budget_move_mult,budget_min,budget_max,vol_target,vol_floor,vol_scale_min,vol_scale_max,hard_risk_off_max,hard_crash_max,tqqq_growth_min,tqqq_soxx_min,tqqq_risk_off_max,uxi_industrial_min,uxi_credit_min,uxi_copper_min,uxi_materials_min,uxi_risk_off_max,erx_war_min,erx_credit_min,erx_risk_off_max,score_base,tqqq_priority,uxi_priority,erx_priority,krw_bonus,tech_dominance_min,tech_dominance_boost,tqqq_abs_max,uxi_abs_max,erx_abs_max,instability_mid,instability_slope,instability_cut,opportunity_mid,opportunity_slope,opportunity_boost,leader_flip_cut,entropy_floor,entropy_cut,danger_transition_cut,danger_transition_cap,wide_gap_min,wide_gap_boost,conviction_scale_min,conviction_scale_max
CONVICTION_00002,0.7883806801215458,0.20629008408244617,3.8217090444660466,-0.12482857872213948,1.0458798425643965,65,2023-10-18,2026-05-11,642,0.1352333073128147,0.08942069333066494,-0.022329173758633525,0.16451986513405498,True,False,0.2,-0.1,-0.1,0.1,0.4,1.2,1.2,0.25,0.1,0.05,0.25,0.2,0.08,0.0,0.85,0.18,0.08,0.55,1.0,1.6,2.5,-0.1,-0.1,1.25,-0.2,-0.7,-0.1,-0.25,1.25,0.0,-0.6,0.8,0.5,2.5,0.8,0.35,0.05,0.5,1.25,0.75,0.35,0.25,0.0,1.25,0.25,0.25,1.0,0.1,0.08,0.55,0.08,0.1,2.0,0.012,0.04,0.5,1.1
CONVICTION_00006,0.7904796025584888,0.20714967307481197,3.8159828631397725,-0.1258394925006826,1.0470324845078636,65,2023-10-18,2026-05-11,642,0.13733222974975767,0.08369451200439082,-0.023340087537176646,0.16075292091848195,True,False,0.2,-0.1,-0.1,0.1,0.4,1.2,1.2,0.25,0.1,0.05,0.25,0.2,0.08,0.0,0.85,0.18,0.08,0.55,1.0,1.6,2.5,-0.1,-0.1,1.25,-0.2,-0.7,-0.1,-0.25,1.25,0.0,-0.6,0.8,0.5,2.5,0.8,0.35,0.05,0.5,1.25,0.75,0.35,0.25,0.25,1.25,0.25,0.25,1.0,0.1,0.08,0.55,0.08,0.1,2.0,0.012,0.04,0.5,1.1
CONVICTION_00059,0.7884445254103094,0.20778919286617525,3.794444333387925,-0.12856602807057693,1.0496731203988228,65,2023-10-18,2026-05-11,642,0.13529715260157826,0.062155982252543485,-0.026066623107070974,0.1386760004020583,True,False,0.2,-0.1,-0.1,0.1,0.4,1.2,1.2,0.25,0.1,0.05,0.25,0.2,0.08,0.0,0.85,0.22,0.08,0.65,1.15,1.6,2.5,-0.1,-0.1,1.25,-0.2,-0.7,-0.1,-0.25,1.25,0.0,-0.6,0.8,0.5,2.5,0.8,0.35,0.05,0.5,1.25,0.75,0.35,0.25,0.0,1.25,0.35,0.25,1.0,0.05,0.08,0.55,0.08,0.1,2.0,0.012,0.04,0.5,1.1
CONVICTION_00043,0.7862740373461392,0.20740181779654068,3.7910662775263955,-0.12856602807057693,1.0496731203988228,65,2023-10-18,2026-05-11,642,0.13312666453740807,0.05877792639101376,-0.026066623107070974,0.13404944545566772,True,False,0.2,-0.1,-0.1,0.1,0.4,1.2,1.2,0.25,0.1,0.05,0.25,0.2,0.08,0.0,0.85,0.22,0.08,0.55,1.15,1.6,2.5,-0.1,-0.1,1.25,-0.2,-0.7,-0.1,-0.25,1.25,0.0,-0.6,0.8,0.5,2.5,0.8,0.35,0.05,0.5,1.25,0.75,0.35,0.25,0.0,1.25,0.35,0.25,1.0,0.05,0.08,0.55,0.08,0.1,2.0,0.012,0.04,0.5,1.1
CONVICTION_00063,0.7917020883207277,0.20916158372125854,3.7851218863201868,-0.13019072187868996,1.0517665791663713,65,2023-10-18,2026-05-11,642,0.1385547155119966,0.05283353518480505,-0.027691316915184006,0.13241110943667708,True,False,0.2,-0.1,-0.1,0.1,0.4,1.2,1.2,0.25,0.1,0.05,0.25,0.2,0.08,0.0,0.85,0.22,0.08,0.65,1.15,1.6,2.5,-0.1,-0.1,1.25,-0.2,-0.7,-0.1,-0.25,1.25,0.0,-0.6,0.8,0.5,2.5,0.8,0.35,0.05,0.5,1.25,0.75,0.35,0.25,0.25,1.25,0.35,0.25,1.0,0.05,0.08,0.55,0.08,0.1,2.0,0.012,0.04,0.5,1.1
CONVICTION_00057,0.7970090765479554,0.2110445623777354,3.776496620279839,-0.13095078342922783,1.0524919292903245,65,2023-10-18,2026-05-11,642,0.14386170373922424,0.04420826914445719,-0.028451378465721877,0.12982470880540375,True,False,0.2,-0.1,-0.1,0.1,0.4,1.2,1.2,0.25,0.1,0.05,0.25,0.2,0.08,0.0,0.85,0.22,0.08,0.65,1.15,1.6,2.5,-0.1,-0.1,1.25,-0.2,-0.7,-0.1,-0.25,1.25,0.0,-0.6,0.8,0.5,2.5,0.8,0.35,0.05,0.5,1.25,0.75,0.35,0.25,0.0,1.25,0.25,0.25,1.0,0.05,0.08,0.55,0.08,0.1,2.0,0.012,0.04,0.5,1.1
CONVICTION_00027,0.7833177131046825,0.2067953754369972,3.787887961466189,-0.12856602807057715,1.0463663432145116,65,2023-10-18,2026-05-11,642,0.13017034029595131,0.05559961033080718,-0.026066623107071196,0.12892987595649377,True,False,0.2,-0.1,-0.1,0.1,0.4,1.2,1.2,0.25,0.1,0.05,0.25,0.2,0.08,0.0,0.85,0.18,0.08,0.65,1.15,1.6,2.5,-0.1,-0.1,1.25,-0.2,-0.7,-0.1,-0.25,1.25,0.0,-0.6,0.8,0.5,2.5,0.8,0.35,0.05,0.5,1.25,0.75,0.35,0.25,0.0,1.25,0.35,0.25,1.0,0.05,0.08,0.55,0.08,0.1,2.0,0.012,0.04,0.5,1.1
CONVICTION_00060,0.7925037063536939,0.20964731924733354,3.7801757217736216,-0.13080225704874227,1.0524369181110829,65,2023-10-18,2026-05-11,642,0.1393563335449628,0.04788737063823989,-0.028302852085236307,0.12856027430659248,True,False,0.2,-0.1,-0.1,0.1,0.4,1.2,1.2,0.25,0.1,0.05,0.25,0.2,0.08,0.0,0.85,0.22,0.08,0.65,1.15,1.6,2.5,-0.1,-0.1,1.25,-0.2,-0.7,-0.1,-0.25,1.25,0.0,-0.6,0.8,0.5,2.5,0.8,0.35,0.05,0.5,1.25,0.75,0.35,0.25,0.0,1.25,0.35,0.25,1.0,0.1,0.08,0.55,0.08,0.1,2.0,0.012,0.04,0.5,1.1
CONVICTION_00047,0.789502763013036,0.20877043616213212,3.7816789461507105,-0.13019072187869074,1.0517665791663713,65,2023-10-18,2026-05-11,642,0.13635539020430487,0.04939059501532883,-0.027691316915184783,0.12770780851370242,True,False,0.2,-0.1,-0.1,0.1,0.4,1.2,1.2,0.25,0.1,0.05,0.25,0.2,0.08,0.0,0.85,0.22,0.08,0.55,1.15,1.6,2.5,-0.1,-0.1,1.25,-0.2,-0.7,-0.1,-0.25,1.25,0.0,-0.6,0.8,0.5,2.5,0.8,0.35,0.05,0.5,1.25,0.75,0.35,0.25,0.25,1.25,0.35,0.25,1.0,0.05,0.08,0.55,0.08,0.1,2.0,0.012,0.04,0.5,1.1
CONVICTION_00031,0.7875092124736245,0.20822907907415536,3.781936778355407,-0.13019072187869007,1.0480233629656257,65,2023-10-18,2026-05-11,642,0.13436183966489335,0.04964842722002549,-0.027691316915184117,0.12612820003143202,True,False,0.2,-0.1,-0.1,0.1,0.4,1.2,1.2,0.25,0.1,0.05,0.25,0.2,0.08,0.0,0.85,0.18,0.08,0.65,1.15,1.6,2.5,-0.1,-0.1,1.25,-0.2,-0.7,-0.1,-0.25,1.25,0.0,-0.6,0.8,0.5,2.5,0.8,0.35,0.05,0.5,1.25,0.75,0.35,0.25,0.25,1.25,0.35,0.25,1.0,0.05,0.08,0.55,0.08,0.1,2.0,0.012,0.04,0.5,1.1
CONVICTION_00061,0.7993293130708707,0.21203823434751554,3.769741412583294,-0.13211027466297753,1.0541423540513097,65,2023-10-18,2026-05-11,642,0.1461819402621396,0.03745306144791227,-0.029610869699471576,0.12526497925356272,True,False,0.2,-0.1,-0.1,0.1,0.4,1.2,1.2,0.25,0.1,0.05,0.25,0.2,0.08,0.0,0.85,0.22,0.08,0.65,1.15,1.6,2.5,-0.1,-0.1,1.25,-0.2,-0.7,-0.1,-0.25,1.25,0.0,-0.6,0.8,0.5,2.5,0.8,0.35,0.05,0.5,1.25,0.75,0.35,0.25,0.25,1.25,0.25,0.25,1.0,0.05,0.08,0.55,0.08,0.1,2.0,0.012,0.04,0.5,1.1
CONVICTION_00041,0.7945283151096219,0.21058386237781238,3.772978167169068,-0.13095078342922772,1.0524919292903245,65,2023-10-18,2026-05-11,642,0.1413809423008907,0.04068981603368638,-0.028451378465721766,0.12479724753397685,True,False,0.2,-0.1,-0.1,0.1,0.4,1.2,1.2,0.25,0.1,0.05,0.25,0.2,0.08,0.0,0.85,0.22,0.08,0.55,1.15,1.6,2.5,-0.1,-0.1,1.25,-0.2,-0.7,-0.1,-0.25,1.25,0.0,-0.6,0.8,0.5,2.5,0.8,0.35,0.05,0.5,1.25,0.75,0.35,0.25,0.0,1.25,0.25,0.25,1.0,0.05,0.08,0.55,0.08,0.1,2.0,0.012,0.04,0.5,1.1
CONVICTION_00025,0.793042110551363,0.21011435730958497,3.7743356556205505,-0.13095078342922795,1.0485564189313736,65,2023-10-18,2026-05-11,642,0.13989473774263184,0.0420473044851688,-0.028451378465721988,0.1245411256387435,True,False,0.2,-0.1,-0.1,0.1,0.4,1.2,1.2,0.25,0.1,0.05,0.25,0.2,0.08,0.0,0.85,0.18,0.08,0.65,1.15,1.6,2.5,-0.1,-0.1,1.25,-0.2,-0.7,-0.1,-0.25,1.25,0.0,-0.6,0.8,0.5,2.5,0.8,0.35,0.05,0.5,1.25,0.75,0.35,0.25,0.0,1.25,0.25,0.25,1.0,0.05,0.08,0.55,0.08,0.1,2.0,0.012,0.04,0.5,1.1
CONVICTION_00044,0.7901795212808804,0.20922460009503355,3.776704655771677,-0.13080225704874238,1.0524369181110829,65,2023-10-18,2026-05-11,642,0.13703214847214928,0.04441630463629531,-0.02830285208523642,0.12371733356278039,True,False,0.2,-0.1,-0.1,0.1,0.4,1.2,1.2,0.25,0.1,0.05,0.25,0.2,0.08,0.0,0.85,0.22,0.08,0.55,1.15,1.6,2.5,-0.1,-0.1,1.25,-0.2,-0.7,-0.1,-0.25,1.25,0.0,-0.6,0.8,0.5,2.5,0.8,0.35,0.05,0.5,1.25,0.75,0.35,0.25,0.0,1.25,0.35,0.25,1.0,0.1,0.08,0.55,0.08,0.1,2.0,0.012,0.04,0.5,1.1
CONVICTION_00028,0.7883975769394787,0.20869905196808292,3.777676848575484,-0.13080225704874182,1.0485389801312102,65,2023-10-18,2026-05-11,642,0.1352502041307475,0.04538849744010243,-0.028302852085235863,0.12288658158902097,True,False,0.2,-0.1,-0.1,0.1,0.4,1.2,1.2,0.25,0.1,0.05,0.25,0.2,0.08,0.0,0.85,0.18,0.08,0.65,1.15,1.6,2.5,-0.1,-0.1,1.25,-0.2,-0.7,-0.1,-0.25,1.25,0.0,-0.6,0.8,0.5,2.5,0.8,0.35,0.05,0.5,1.25,0.75,0.35,0.25,0.0,1.25,0.35,0.25,1.0,0.1,0.08,0.55,0.08,0.1,2.0,0.012,0.04,0.5,1.1
CONVICTION_00064,0.7957581326987366,0.211031099888513,3.7708097674661833,-0.13242572630138605,1.0545832252401932,65,2023-10-18,2026-05-11,642,0.1426107598900055,0.03852141633080164,-0.02992632133788009,0.12225740608787816,True,False,0.2,-0.1,-0.1,0.1,0.4,1.2,1.2,0.25,0.1,0.05,0.25,0.2,0.08,0.0,0.85,0.22,0.08,0.65,1.15,1.6,2.5,-0.1,-0.1,1.25,-0.2,-0.7,-0.1,-0.25,1.25,0.0,-0.6,0.8,0.5,2.5,0.8,0.35,0.05,0.5,1.25,0.75,0.35,0.25,0.25,1.25,0.35,0.25,1.0,0.1,0.08,0.55,0.08,0.1,2.0,0.012,0.04,0.5,1.1
CONVICTION_00011,0.7800634714609578,0.2062160039702297,3.7827494299306244,-0.12856602807057704,1.0463663432145114,65,2023-10-18,2026-05-11,642,0.12691609865222664,0.05046107879524264,-0.026066623107071085,0.12193760995444933,True,False,0.2,-0.1,-0.1,0.1,0.4,1.2,1.2,0.25,0.1,0.05,0.25,0.2,0.08,0.0,0.85,0.18,0.08,0.55,1.15,1.6,2.5,-0.1,-0.1,1.25,-0.2,-0.7,-0.1,-0.25,1.25,0.0,-0.6,0.8,0.5,2.5,0.8,0.35,0.05,0.5,1.25,0.75,0.35,0.25,0.0,1.25,0.35,0.25,1.0,0.05,0.08,0.55,0.08,0.1,2.0,0.012,0.04,0.5,1.1
CONVICTION_00045,0.7968276247983219,0.2115748865400013,3.7661729982668337,-0.13211027466297787,1.0541423540513097,65,2023-10-18,2026-05-11,642,0.14368025198959078,0.033884647131452006,-0.02961086969947191,0.12017964980517112,True,False,0.2,-0.1,-0.1,0.1,0.4,1.2,1.2,0.25,0.1,0.05,0.25,0.2,0.08,0.0,0.85,0.22,0.08,0.55,1.15,1.6,2.5,-0.1,-0.1,1.25,-0.2,-0.7,-0.1,-0.25,1.25,0.0,-0.6,0.8,0.5,2.5,0.8,0.35,0.05,0.5,1.25,0.75,0.35,0.25,0.25,1.25,0.25,0.25,1.0,0.05,0.08,0.55,0.08,0.1,2.0,0.012,0.04,0.5,1.1
CONVICTION_00029,0.7952913242955979,0.2110902769697348,3.7675412421275247,-0.13211027466297742,1.050150351780016,65,2023-10-18,2026-05-11,642,0.14214395148686676,0.035252890992143016,-0.029610869699471465,0.11988621418015806,True,False,0.2,-0.1,-0.1,0.1,0.4,1.2,1.2,0.25,0.1,0.05,0.25,0.2,0.08,0.0,0.85,0.18,0.08,0.65,1.15,1.6,2.5,-0.1,-0.1,1.25,-0.2,-0.7,-0.1,-0.25,1.25,0.0,-0.6,0.8,0.5,2.5,0.8,0.35,0.05,0.5,1.25,0.75,0.35,0.25,0.25,1.25,0.25,0.25,1.0,0.05,0.08,0.55,0.08,0.1,2.0,0.012,0.04,0.5,1.1
CONVICTION_00015,0.7842099835049685,0.2076443152477644,3.7766985461135167,-0.1301907218786903,1.0480233629656257,65,2023-10-18,2026-05-11,642,0.13106261069623737,0.04441019497813503,-0.02769131691518434,0.1190172496466361,True,False,0.2,-0.1,-0.1,0.1,0.4,1.2,1.2,0.25,0.1,0.05,0.25,0.2,0.08,0.0,0.85,0.18,0.08,0.55,1.15,1.6,2.5,-0.1,-0.1,1.25,-0.2,-0.7,-0.1,-0.25,1.25,0.0,-0.6,0.8,0.5,2.5,0.8,0.35,0.05,0.5,1.25,0.75,0.35,0.25,0.25,1.25,0.35,0.25,1.0,0.05,0.08,0.55,0.08,0.1,2.0,0.012,0.04,0.5,1.1
CONVICTION_00048,0.7934048761237944,0.2106046422286164,3.7672715460019837,-0.13242572630138638,1.0545832252401932,65,2023-10-18,2026-05-11,642,0.14025750331506326,0.03498319486660195,-0.029926321337880424,0.11733577494676505,True,False,0.2,-0.1,-0.1,0.1,0.4,1.2,1.2,0.25,0.1,0.05,0.25,0.2,0.08,0.0,0.85,0.22,0.08,0.55,1.15,1.6,2.5,-0.1,-0.1,1.25,-0.2,-0.7,-0.1,-0.25,1.25,0.0,-0.6,0.8,0.5,2.5,0.8,0.35,0.05,0.5,1.25,0.75,0.35,0.25,0.25,1.25,0.35,0.25,1.0,0.1,0.08,0.55,0.08,0.1,2.0,0.012,0.04,0.5,1.1
CONVICTION_00009,0.7893200248093075,0.20942618833316926,3.7689652430363876,-0.13095078342922795,1.0485564189313739,65,2023-10-18,2026-05-11,642,0.13617265200057638,0.03667689190100587,-0.028451378465721988,0.11692886425384899,True,False,0.2,-0.1,-0.1,0.1,0.4,1.2,1.2,0.25,0.1,0.05,0.25,0.2,0.08,0.0,0.85,0.18,0.08,0.55,1.15,1.6,2.5,-0.1,-0.1,1.25,-0.2,-0.7,-0.1,-0.25,1.25,0.0,-0.6,0.8,0.5,2.5,0.8,0.35,0.05,0.5,1.25,0.75,0.35,0.25,0.0,1.25,0.25,0.25,1.0,0.05,0.08,0.55,0.08,0.1,2.0,0.012,0.04,0.5,1.1
CONVICTION_00032,0.7915782321362703,0.2100596878837807,3.7683490826389554,-0.13242572630138583,1.0505973739126688,65,2023-10-18,2026-05-11,642,0.13843085932753918,0.036060731503573695,-0.02992632133787987,0.11654584984576337,True,False,0.2,-0.1,-0.1,0.1,0.4,1.2,1.2,0.25,0.1,0.05,0.25,0.2,0.08,0.0,0.85,0.18,0.08,0.65,1.15,1.6,2.5,-0.1,-0.1,1.25,-0.2,-0.7,-0.1,-0.25,1.25,0.0,-0.6,0.8,0.5,2.5,0.8,0.35,0.05,0.5,1.25,0.75,0.35,0.25,0.25,1.25,0.35,0.25,1.0,0.1,0.08,0.55,0.08,0.1,2.0,0.012,0.04,0.5,1.1
CONVICTION_00012,0.7849108012006478,0.2080672664483878,3.7723896439777045,-0.1308022570487425,1.0485389801312104,65,2023-10-18,2026-05-11,642,0.13176342839191668,0.04010129284232278,-0.02830285208523653,0.11556075950579353,True,False,0.2,-0.1,-0.1,0.1,0.4,1.2,1.2,0.25,0.1,0.05,0.25,0.2,0.08,0.0,0.85,0.18,0.08,0.55,1.15,1.6,2.5,-0.1,-0.1,1.25,-0.2,-0.7,-0.1,-0.25,1.25,0.0,-0.6,0.8,0.5,2.5,0.8,0.35,0.05,0.5,1.25,0.75,0.35,0.25,0.0,1.25,0.35,0.25,1.0,0.1,0.08,0.55,0.08,0.1,2.0,0.012,0.04,0.5,1.1
CONVICTION_00013,0.7915379697943765,0.21039813602601642,3.762095923209606,-0.13211027466297787,1.0501503517800161,65,2023-10-18,2026-05-11,642,0.13839059698564538,0.029807572074224353,-0.02961086969947191,0.11218729867924075,True,False,0.2,-0.1,-0.1,0.1,0.4,1.2,1.2,0.25,0.1,0.05,0.25,0.2,0.08,0.0,0.85,0.18,0.08,0.55,1.15,1.6,2.5,-0.1,-0.1,1.25,-0.2,-0.7,-0.1,-0.25,1.25,0.0,-0.6,0.8,0.5,2.5,0.8,0.35,0.05,0.5,1.25,0.75,0.35,0.25,0.25,1.25,0.25,0.25,1.0,0.05,0.08,0.55,0.08,0.1,2.0,0.012,0.04,0.5,1.1
CONVICTION_00016,0.7880479626310322,0.20942230121319255,3.7629610507851163,-0.13242572630138594,1.0505973739126688,65,2023-10-18,2026-05-11,642,0.13490058982230102,0.030672699649734625,-0.02992632133787998,0.10910203378426339,True,False,0.2,-0.1,-0.1,0.1,0.4,1.2,1.2,0.25,0.1,0.05,0.25,0.2,0.08,0.0,0.85,0.18,0.08,0.55,1.15,1.6,2.5,-0.1,-0.1,1.25,-0.2,-0.7,-0.1,-0.25,1.25,0.0,-0.6,0.8,0.5,2.5,0.8,0.35,0.05,0.5,1.25,0.75,0.35,0.25,0.25,1.25,0.35,0.25,1.0,0.1,0.08,0.55,0.08,0.1,2.0,0.012,0.04,0.5,1.1
CONVICTION_00058,0.8010571324216842,0.21293696963217337,3.7619448318693913,-0.13318525374822965,1.0554189691286666,65,2023-10-18,2026-05-11,642,0.14790975961295305,0.029656480734009616,-0.03068584878472369,0.11947609579460657,False,False,0.2,-0.1,-0.1,0.1,0.4,1.2,1.2,0.25,0.1,0.05,0.25,0.2,0.08,0.0,0.85,0.22,0.08,0.65,1.15,1.6,2.5,-0.1,-0.1,1.25,-0.2,-0.7,-0.1,-0.25,1.25,0.0,-0.6,0.8,0.5,2.5,0.8,0.35,0.05,0.5,1.25,0.75,0.35,0.25,0.0,1.25,0.25,0.25,1.0,0.1,0.08,0.55,0.08,0.1,2.0,0.012,0.04,0.5,1.1
CONVICTION_00062,0.8031707976124556,0.21388088828841198,3.7552247142783686,-0.1343438638430332,1.0567034233383605,65,2023-10-18,2026-05-11,642,0.15002342480372444,0.02293636314298686,-0.03184445887952725,0.11475823180658755,False,False,0.2,-0.1,-0.1,0.1,0.4,1.2,1.2,0.25,0.1,0.05,0.25,0.2,0.08,0.0,0.85,0.22,0.08,0.65,1.15,1.6,2.5,-0.1,-0.1,1.25,-0.2,-0.7,-0.1,-0.25,1.25,0.0,-0.6,0.8,0.5,2.5,0.8,0.35,0.05,0.5,1.25,0.75,0.35,0.25,0.25,1.25,0.25,0.25,1.0,0.1,0.08,0.55,0.08,0.1,2.0,0.012,0.04,0.5,1.1
CONVICTION_00042,0.7984223783434179,0.2124391011997069,3.758358860654601,-0.13318525374822998,1.0554189691286666,65,2023-10-18,2026-05-11,642,0.14527500553468675,0.026070509519219076,-0.030685848784724024,0.1142514369917402,False,False,0.2,-0.1,-0.1,0.1,0.4,1.2,1.2,0.25,0.1,0.05,0.25,0.2,0.08,0.0,0.85,0.22,0.08,0.55,1.15,1.6,2.5,-0.1,-0.1,1.25,-0.2,-0.7,-0.1,-0.25,1.25,0.0,-0.6,0.8,0.5,2.5,0.8,0.35,0.05,0.5,1.25,0.75,0.35,0.25,0.0,1.25,0.25,0.25,1.0,0.1,0.08,0.55,0.08,0.1,2.0,0.012,0.04,0.5,1.1
CONVICTION_00026,0.796888352560926,0.21195030441454357,3.759788667263859,-0.13318525374822998,1.051314836522963,65,2023-10-18,2026-05-11,642,0.1437409797521949,0.027500316128477476,-0.030685848784724024,0.11401064950139594,False,False,0.2,-0.1,-0.1,0.1,0.4,1.2,1.2,0.25,0.1,0.05,0.25,0.2,0.08,0.0,0.85,0.18,0.08,0.65,1.15,1.6,2.5,-0.1,-0.1,1.25,-0.2,-0.7,-0.1,-0.25,1.25,0.0,-0.6,0.8,0.5,2.5,0.8,0.35,0.05,0.5,1.25,0.75,0.35,0.25,0.0,1.25,0.25,0.25,1.0,0.1,0.08,0.55,0.08,0.1,2.0,0.012,0.04,0.5,1.1
CONVICTION_00046,0.8005152527652828,0.21338027005455504,3.7515898379949313,-0.13434386384303332,1.0567034233383605,65,2023-10-18,2026-05-11,642,0.14736787995655165,0.019301486859549577,-0.03184445887952736,0.10947665339360801,False,False,0.2,-0.1,-0.1,0.1,0.4,1.2,1.2,0.25,0.1,0.05,0.25,0.2,0.08,0.0,0.85,0.22,0.08,0.55,1.15,1.6,2.5,-0.1,-0.1,1.25,-0.2,-0.7,-0.1,-0.25,1.25,0.0,-0.6,0.8,0.5,2.5,0.8,0.35,0.05,0.5,1.25,0.75,0.35,0.25,0.25,1.25,0.25,0.25,1.0,0.1,0.08,0.55,0.08,0.1,2.0,0.012,0.04,0.5,1.1
CONVICTION_00030,0.7989313466658381,0.2128759389148867,3.753037335916444,-0.1343438638430332,1.052542798820314,65,2023-10-18,2026-05-11,642,0.14578397385710695,0.02074898478106224,-0.03184445887952725,0.10920405569877305,False,False,0.2,-0.1,-0.1,0.1,0.4,1.2,1.2,0.25,0.1,0.05,0.25,0.2,0.08,0.0,0.85,0.18,0.08,0.65,1.15,1.6,2.5,-0.1,-0.1,1.25,-0.2,-0.7,-0.1,-0.25,1.25,0.0,-0.6,0.8,0.5,2.5,0.8,0.35,0.05,0.5,1.25,0.75,0.35,0.25,0.25,1.25,0.25,0.25,1.0,0.1,0.08,0.55,0.08,0.1,2.0,0.012,0.04,0.5,1.1
CONVICTION_00010,0.7929355511498675,0.21120670851105716,3.7543104418407025,-0.13318525374823043,1.051314836522963,65,2023-10-18,2026-05-11,642,0.13978817834113633,0.022022090705320796,-0.030685848784724468,0.10609789820366654,False,False,0.2,-0.1,-0.1,0.1,0.4,1.2,1.2,0.25,0.1,0.05,0.25,0.2,0.08,0.0,0.85,0.18,0.08,0.55,1.15,1.6,2.5,-0.1,-0.1,1.25,-0.2,-0.7,-0.1,-0.25,1.25,0.0,-0.6,0.8,0.5,2.5,0.8,0.35,0.05,0.5,1.25,0.75,0.35,0.25,0.0,1.25,0.25,0.25,1.0,0.1,0.08,0.55,0.08,0.1,2.0,0.012,0.04,0.5,1.1
CONVICTION_00014,0.7949474906588907,0.2121282145761801,3.747485888414937,-0.13434386384303298,1.052542798820314,65,2023-10-18,2026-05-11,642,0.14180011785015956,0.015197537279555196,-0.03184445887952703,0.10120615893343698,False,False,0.2,-0.1,-0.1,0.1,0.4,1.2,1.2,0.25,0.1,0.05,0.25,0.2,0.08,0.0,0.85,0.18,0.08,0.55,1.15,1.6,2.5,-0.1,-0.1,1.25,-0.2,-0.7,-0.1,-0.25,1.25,0.0,-0.6,0.8,0.5,2.5,0.8,0.35,0.05,0.5,1.25,0.75,0.35,0.25,0.25,1.25,0.25,0.25,1.0,0.1,0.08,0.55,0.08,0.1,2.0,0.012,0.04,0.5,1.1
